ID	Europarl_ID	SET	SRC	REF-G	REF-N1	REF-N2	REF-N3	GENDER
379	ep-en-it-10140	Set-G	For all these reasons, we, as our chairman, Mr Poettering, has already said, are going to vote in favour of this Charter.	Per tutte queste ragioni, come ha detto precedentemente il nostro presidente, l'onorevole Poettering, voteremo a favore della Carta.	Per tutte queste ragioni, come ha detto precedentemente la persona a capo della Presidenza, l'onorevole Poettering, voteremo a favore della Carta.	Per tutte queste ragioni, come ha detto precedentemente la nostra presidenza, nella figura dell'onorevole Poettering, voteremo a favore della Carta.	Per tutte queste ragioni, come ha detto precedentemente l'onorevolepresidente Poettering, voteremo a favore della Carta.	M
380	ep-en-it-10149	Set-G	The chairman of the group to which the majority of governments in the European Union belong said quite clearly that he will not approve the reform of the Treaty of Nice if no reference is made in Article 6.	Il presidente del gruppo della maggior parte dei governi dell'Unione europea ha detto con estrema chiarezza che egli non approverà la riforma del Trattato di Nizza senza un riferimento all'articolo 6.	La persona a capo della Presidenza del gruppo della maggior parte dei governi dell'Unione europea ha detto con estrema chiarezza che non approverà la riforma del Trattato di Nizza senza un riferimento all'articolo 6.	Chi presiede il gruppo della maggior parte dei governi dell'Unione europea ha detto con estrema chiarezza che non approverà la riforma del Trattato di Nizza senza un riferimento all'articolo 6.	La presidenza del gruppo della maggior parte dei governi dell'Unione europea ha fatto sapere molto chiaramente che non approverà la riforma del Trattato di Nizza senza un riferimento all'articolo 6.	M
382	ep-en-it-10173	Set-G	According to the co-rapporteur, Mr Duff, this is a major step towards improving the quality of European integration.	Secondo il correlatore, onorevole Duff, si tratterebbe di un passo avanti enorme per migliorare la qualità dell'integrazione europea.	Secondo l'onorevole Duff, che ha supportato la stesura della relazione, si tratterebbe di un passo avanti enorme per migliorare la qualità dell'integrazione europea.	Secondo chi ha affiancato la presentazione della relazione, onorevole Duff, si tratterebbe di un passo avanti enorme per migliorare la qualità dell'integrazione europea.	Secondo l'onorevole Duff, che ha l'incarico di riferire in merito, si tratterebbe di un passo avanti enorme per migliorare la qualità dell'integrazione europea.	M
383	ep-en-it-10188	Set-G	Finally, I want to say a warm thank-you to our skilled delegation leader, Mr Méndez de Vigo.	Infine ringrazio sentitamente il nostro abile capodelegazione, l'onorevole Méndez de Vigo.	Infine ringrazio sentitamente l'abile capodelegazione, l'onorevole Méndez de Vigo.	Infine ringrazio sentitamente l'onorevole Méndez de Vigo, che svolge con abilità il ruolo di capo della nostra delegazione.	Infine ringrazio sentitamente l'abile onorevole Méndez de Vigo, a capo dalla nostra delegazione.	M
384	ep-en-it-10317	Set-G	One example is the report drawn up under the responsibility of Mr Demirok, Secretary of the Turkish Supreme Coordination Council for Human Rights, who has proposed a very wide-ranging raft of reforms to the Constitution.	Ne è testimonianza la relazione del signor Demiroc, segretario dell'Alto consiglio per il coordinamento turco dei diritti umani, che propone un insieme assai voluminoso di riforme costituzionali.	Ne è testimonianza la relazione di Demiroc, membro della Segreteria dell'Alto consiglio per il coordinamento turco dei diritti umani, che propone un insieme assai voluminoso di riforme costituzionali.	Ne è testimonianza la relazione di Demiroc, appartenente alla segreteria dell'Alto consiglio per il coordinamento turco dei diritti umani, che propone un insieme assai voluminoso di riforme costituzionali.	Ne è testimonianza la relazione di Demiroc, capo segreteria dell'Alto consiglio per il coordinamento turco dei diritti umani, che propone un insieme assai voluminoso di riforme costituzionali.	M
386	ep-en-it-10551	Set-G	Recently our Taoiseach, Mr Ahern, clearly stated that the European Charter of Fundamental Human Rights should remain a political, not a legal document.	Recentemente il nostro Taoiseach, il signor Ahern, ha affermato chiaramente che la Carta europea dei diritti fondamentali deve rimanere un documento politico, non giuridico.	Recentemente Ahern, che ricopre la carica di Taoiseach, ha affermato chiaramente che la Carta europea dei diritti fondamentali deve rimanere un documento politico, non giuridico.	Recentemente Ahern, Taoiseach della nostra nazione, ha affermato chiaramente che la Carta europea dei diritti fondamentali deve rimanere un documento politico, non giuridico.	Recentemente Ahern, nella sua funzione di Taoiseach, ha affermato chiaramente che la Carta europea dei diritti fondamentali deve rimanere un documento politico, non giuridico.	M
387	ep-en-it-10610	Set-G	I congratulate my Socialist colleague, Mr Marinho, for his excellent report on strengthening the fight against international money laundering and organised crime.	Mi congratulo con il collega socialista, l'onorevole Marinho, per l'eccellente relazione sul rafforzamento della lotta contro il riciclaggio di denaro e la criminalità organizzata internazionali.	Mi congratulo con l'onorevole collega Marinho, del partito socialista, per l'eccellente relazione sul rafforzamento della lotta contro il riciclaggio di denaro e la criminalità organizzata internazionali.	Mi congratulo con l'onorevole Marinho, socialista come noi, per l'eccellente relazione sul rafforzamento della lotta contro il riciclaggio di denaro e la criminalità organizzata internazionali.	Mi congratulo con l'onorevole collega Marinho, del partito socialista, per l'eccellente relazione sul rafforzamento della lotta contro il riciclaggio di denaro e la criminalità organizzata internazionali.	M
389	ep-en-it-10689	Set-G	Our representative has identified and brought Turkey's attention to this common ground in his really excellent report, for which I too wish to thank him.	Il nostro rappresentante è andato in cerca di questo terreno comune per indicarlo alla Turchia, con una relazione davvero eccellente per la quale voglio a mia volta ringraziarlo.	La persona in rappresentanza del nostro gruppo è andata in cerca di questo terreno comune per indicarlo alla Turchia, con una relazione davvero eccellente per la quale voglio a mia volta congratularmi.	Chi ci rappresenta ha cercato questo terreno comune per indicarlo alla Turchia, con una relazione davvero eccellente per la quale voglio a mia volta esprimere un ringraziamento.	La persona incaricata di rappresentarci è andata in cerca di questo terreno comune per indicarlo alla Turchia, con una relazione davvero eccellente per la quale voglio a mia volta ringraziarla.	M
390	ep-en-it-10704	Set-G	I should particularly like to address Mr Verheugen, as the Commissioner with responsibility for enlargement.	Mi rivolgo in particolare al Commissario Verheugen, responsabile in materia di ampliamento.	Mi rivolgo in particolare alla Commissione, nella persona di Verheugen, responsabile in materia di ampliamento.	Mi rivolgo in particolare Verheugen, componente della Commissione, responsabile in materia di ampliamento.	Mi rivolgo in particolare a Verheugen, responsabile della Commissione in materia di ampliamento.	M
391	ep-en-it-10707	Set-G	The Commisioner himself referred to this genocide as if it were something forgotten.	Il Commissario stesso parlava di quel genocidio come di una questione chiusa.	Il membro della Commissione parlava di quel genocidio come di una questione chiusa.	Perfino il membro della Commissione parlava di quel genocidio come di una questione chiusa.	Il membro della Commissione stesso parlava di quel genocidio come di una questione chiusa.	M
392	ep-en-it-10846	Set-G	Indeed, on Thursday evening, I assessed the situation with Mr Josselin, the French Minister responsible for these matters, and I know that he is wholeheartedly behind the idea of promoting the process as we see it.	D'altro canto, giovedì sera ho fatto il punto con il Ministro Josselin, che se ne occupa in Francia, e so anche che è senz'altro d'accordo nel promuovere il processo nei termini da noi indicati.	D'altro canto, giovedì sera ho fatto il punto con Josselin, responsabile del ministero, che se ne occupa in Francia, e so anche che è senz'altro d'accordo nel promuovere il processo nei termini da noi indicati.	D'altro canto, giovedì sera ho fatto il punto con Josselin, titolare del Ministero, che se ne occupa in Francia, e so anche che è senz'altro d'accordo nel promuovere il processo nei termini da noi indicati.	D'altro canto, giovedì sera ho fatto il punto con Josselin, reponsabile del Ministero competente in Francia, e so anche che è senz'altro d'accordo nel promuovere il processo nei termini da noi indicati.	M
393	ep-en-it-11045	Set-G	Mr President, my initial impression of President Kostunica is that he is a very pragmatic politician since he assumed power in the Federal Republic of Yugoslavia.	Signor Presidente, la mia prima impressione del Presidente Kostunica è che si tratti di un politico molto pragmatico da quando ha assunto la sua carica nella Repubblica federale di Iugoslavia.	Gentile Presidente, la mia prima impressione di Kostunica è che si tratti di una persona molto pragmatica da quando ha assunto la carica di Presidente della Repubblica federale di Iugoslavia,.	Presidente, la mia prima impressione della presidenza nella persona di Kostunica è che si tratti di una figura politica molto pragmatica da quando ha assunto la sua carica nella Repubblica federale di Iugoslavia.	Presidente, la mia prima impressione di Kostunica è che si tratti di una figura politica molto pragmatica da quando ha assunto la carica di Presidente nella Repubblica federale di Iugoslavia.	M
394	ep-en-it-11047	Set-G	He has already visited Sarajevo, he has attended an informal regional meeting in Skopje and he has also been to Moscow.	Si è già recato in visita a Sarejevo, ha partecipato a una riunione regionale informale a Skopje e si è anche recato a Mosca.	Ha già compiuto un viaggio a Sarejevo, ha partecipato a una riunione regionale informale a Skopje e ha visitato Mosca.	Ha già fatto visita a Sarejevo, ha partecipato a una riunione regionale informale a Skopje e ha fatto anche visita a Mosca.	Ha già effettuato una visita a Sarejevo, ha partecipato a una riunione regionale informale a Skopje e ha anche effettuato un viaggio a Mosca.	M
395	ep-en-it-11051	Set-G	I hope that President Kostunica will steadily consolidate his position as the new democratic leadership in the Federal Republic of Yugoslavia at all political levels.	Spero che il Presidente Kostunica consoliderà progressivamente la sua posizione in quanto nuova leadership democratica a tutti i livelli politici nella Repubblica federale di Iugoslavia.	Spero che Kostunica consoliderà progressivamente la sua posizione in quanto nuova leadership democratica a tutti i livelli politici nel ruolo di Presidente della Repubblica federale di Iugoslavia.	Spero che la Presidenza nella persona di Kostunica consoliderà progressivamente la sua posizione in quanto nuova leadership democratica a tutti i livelli politici nella Repubblica federale di Iugoslavia.	Spero che Kostunica, da Presidente, consoliderà progressivamente la sua posizione in quanto nuova leadership democratica a tutti i livelli politici nella Repubblica federale di Iugoslavia.	M
396	ep-en-it-11153	Set-G	I should like to mention that the President of the Republic will be accompanied, as is usually the case, by his delegation.	Aggiungo che il Presidente della Repubblica sarà accompagnato, com'è tradizione, dalla sua delegazione.	Aggiungo che la persona a capo della Presidenza della Repubblica sarà accompagnata, com'è tradizione, dalla sua delegazione.	Aggiungo che, com'è tradizione, ad accompagnare chi ha la carica di Presidente della Repubblica sarà la sua delegazione.	Aggiungo che la Presidenza della Repubblica sarà accompagnata, com'è tradizione, dalla sua delegazione.	M
398	ep-en-it-11198	Set-G	I do not know, especially as it is the Commissioner for Agriculture, Rural Development and Fisheries, Mr Franz Fischler who is negotiating this Fisheries Agreement.	Non so, tanto più che è il Commissario per l'agricoltura e la pesca, Franz Fischler a negoziare questo accordo di pesca.	Non so, tanto più che è la Commissione per l'agricoltura e la pesca, nella persona di Franz Fischler a negoziare questo accordo di pesca.	Non so, tanto più che è la figura della Commissione responsabile per l'agricoltura e la pesca, Franz Fischler a negoziare questo accordo di pesca.	Non so, tanto più che è Franz Fischler, del Commissariato per l'agricoltura e la pesca, a negoziare questo accordo di pesca.	M
399	ep-en-it-11204	Set-G	Anyway, allow me to say that Commissioner Fischler is neither Mediterranean nor is he from the Atlantic, and what is more we are unfortunate enough to have a Director-General for Fisheries who is from the north Atlantic and only learnt about fisheries problems when he was recently appointed to that post.	Mi permetta comunque di dire che il Commissario Fischler non è mediterraneo né tantomeno atlantico e, inoltre, che abbiamo la disgrazia di avere un Direttore generale della pesca che proviene dall'Atlantico settentrionale e che è venuto a conoscenza dei problemi della pesca nel momento in cui è stato nominato per questo incarico.	Mi permetta comunque di dire che Fischler, membro della Commissione, non ha origini mediterranee né tantomeno atlantiche e, inoltre, che abbiamo la disgrazia di avere una persona a capo della Direzione generale della pesca che proviene dall'Atlantico settentrionale e che ha scoperto i problemi della pesca nel momento in cui ha ricevuto questo incarico.	Mi permetta comunque di dire che Fischler, rappresentante della Commissione, non è di origine mediterranea né tantomeno atlantica e, inoltre, che abbiamo la disgrazia di avere alla Direzione generale della pesca una figura che proviene dall'Atlantico settentrionale e che ha ricevuto informazioni sui problemi della pesca al momento della nomina per questo incarico.	Mi permetta comunque di dire che Fischler, che presiede la Commissione, non ha origini mediterranee né tantomeno atlantiche e, inoltre, che abbiamo la disgrazia di avere una Direzione generale della pesca che proviene dall'Atlantico settentrionale e che ha preso conoscenza dei problemi della pesca nel momento in cui ha ricevuto la nomina per questo incarico.	M
400	ep-en-it-11228	Set-G	I have a letter from another constituent of mine who draws to my attention that he has been in prison since 28 March 2000 on similar suspicion.	Ho ricevuto una lettera da un altro mio concittadino che porta alla mia attenzione che egli si trova in carcere dal 28 marzo 2000 per simili sospetti.	Ho ricevuto una lettera da un membro del mio elettorato che porta alla mia attenzione che si trova in carcere dal 28 marzo 2000 per simili sospetti.	Ho ricevuto una lettera da qualche altra persona della mia città che porta alla mia attenzione la sua detenzione in carcere dal 28 marzo 2000 per simili sospetti.	Ho ricevuto una lettera da un'altra persona mia concittadina che porta alla mia attenzione che si trova in carcere dal 28 marzo 2000 per simili sospetti.	M
401	ep-en-it-1128	Set-G	We need to make use of all the information possibilities that Commissioner Verheugen spoke of in his very reflective and elegant speech today.	Dobbiamo usufruire di tutte le possibilità sul piano dell'informazione alle quali ha fatto riferimento il Commissario Verheugen nel suo intervento estremamente riflessivo ed elegante di oggi.	Dobbiamo usufruire di tutte le possibilità sul piano dell'informazione alle quali ha fatto riferimento Verheugen, membro della Commissione, nel suo intervento estremamente riflessivo ed elegante di oggi.	Dobbiamo usufruire di tutte le possibilità sul piano dell'informazione alle quali ha fatto riferimento l'esponente della Commissione Verheugen nel suo intervento estremamente riflessivo ed elegante di oggi.	Dobbiamo usufruire di tutte le possibilità sul piano dell'informazione alle quali ha fatto riferimento Verheugen, responsabile della Commissione, nel suo intervento estremamente riflessivo ed elegante di oggi.	M
403	ep-en-it-11467	Set-G	The Commissioner, when he replied to my report last month, seemed to get his geographical situations slightly mixed up: he did not know whether he was going to Scotland, Ireland or Northern Ireland.	Quando il mese scorso il Commissario ha replicato alla mia relazione, sembrava aver confuso un po' e varie realtà geografiche: non sapeva se stava andando in Scozia, Irlanda o Irlanda del Nord.	Quando il mese scorso il membro della Commissione ha replicato alla mia relazione, sembrava aver confuso un po' le varie realtà geografiche: non sapeva se stava andando in Scozia, Irlanda o Irlanda del Nord.	Quando il mese scorso l'esponente della Commissione ha replicato alla mia relazione, sembrava aver confuso un po' le varie realtà geografiche: non sapeva se stava andando in Scozia, Irlanda o Irlanda del Nord.	Nella risposta alla mia relazione del mese scorso, la Commissione sembrava aver confuso un po'e varie realtà geografiche: non sapeva se stava andando in Scozia, Irlanda o Irlanda del Nord.	M
404	ep-en-it-11568	Set-G	First and foremost, I would like to compliment the deputy, Mr Garot, on the fact that he has done his utmost to see if he can do something to help at a time when pig farming is lapsing into crisis.	Desidero innanzitutto congratularmi con il deputato, l'onorevole Garot, che ha compiuto sforzi immani per cercare di individuare le possibili modalità di intervento nei momenti di crisi della suinicoltura.	Desidero innanzitutto congratularmi con il membro della Camera, l'onorevole Garot, che ha compiuto sforzi immani per cercare di individuare le possibili modalità di intervento nei momenti di crisi della suinicoltura.	Desidero innanzitutto congratularmi con l'onorevole Garot, che ha compiuto sforzi immani per cercare di individuare le possibili modalità di intervento nei momenti di crisi della suinicoltura.	Desidero innanzitutto congratularmi con l'onorevole Garot della Camera, che ha compiuto sforzi immani per cercare di individuare le possibili modalità di intervento nei momenti di crisi della suinicoltura.	M
405	ep-en-it-11612	Set-G	I welcome the President of the Court of Auditors, Mr Karlsson, and I immediately give him the floor.	Porgo un caloroso benvenuto al presidente della Corte dei conti, signor Karlsson, e gli do immediatamente la parola.	Porgo un caloroso benvenuto alla persona a capo della Presidenza della Corte dei conti, Karlsson, a cui do immediatamente la parola.	Porgo un caloroso benvenuto a chi presiede la Corte dei conti, Karlsson, a cui do immediatamente la parola.	Porgo un caloroso benvenuto a Karlsson, presidente della Corte dei conti, a cui do immediatamente la parola.	M
407	ep-en-it-11708	Set-G	We have met President Prodi and have seen that he has personally taken on the development of the White Paper in accordance with many of the recommendations that have been received year after year from the Court over which Mr Karlsson so ably presides.	Abbiamo da poco incontrato il Presidente Prodi, il quale ci ha confermato il suo personale impegno a dare attuazione al Libro bianco, conformemente alle molte raccomandazioni che, anno dopo anno, sono pervenute dall'Istituzione che tanto degnamente il signor Karlsson presiede.	Abbiamo da poco incontrato Prodi, che ricopre la carica di Presidente e che ci ha confermato il suo personale impegno a dare attuazione al Libro bianco, conformemente alle molte raccomandazioni che, anno dopo anno, sono pervenute dall'Istituzione che tanto degnamente Karlsson presiede.	Abbiamo da poco incontrato Prodi, titolare della Presidenza, che ci ha confermato il suo personale impegno a dare attuazione al Libro bianco, conformemente alle molte raccomandazioni che, anno dopo anno, sono pervenute dall'Istituzione che tanto degnamente Karlsson presiede.	Abbiamo da poco incontrato la Presidenza nell persona di Prodi, che ci ha confermato il suo personale impegno a dare attuazione al Libro bianco, conformemente alle molte raccomandazioni che, anno dopo anno, sono pervenute dall'Istituzione che tanto presieduta da Karlsson.	M
409	ep-en-it-11853	Set-G	The Commission have begun to take a tentative but welcome step in that direction and perhaps the Commissioner will say more about that when he replies.	La Commissione ha cominciato a compiere un primo esitante passo, del resto ben accolto, in tale direzione e forse il Commissario ci dirà di più nella sua risposta.	La Commissione ha cominciato a compiere un primo esitante passo, del resto ben accolto, in tale direzione e forse un suo membro ci dirà di più nella sua risposta.	La Commissione ha cominciato a compiere un primo esitante passo, del resto ben accolto, in tale direzione e forse l'esponente della Commissione ci dirà di più nella sua risposta.	La Commissione ha cominciato a compiere un primo esitante passo, del resto ben accolto, in tale direzione e forse la persona che la presiede ci dirà di più nella sua risposta.	M
410	ep-en-it-11867	Set-G	We concur with the rapporteur where he has highlighted the importance of providing information about the risks, and the need for transparency, especially in the sphere of health and safety.	Condividiamo il parere del relatore che ha posto notevole enfasi sull'informazione in relazione ai rischi e sulla trasparenza, in particolare nel campo sanitario e della sicurezza.	Condividiamo il parere della persona che ha esposto la relazione e che ha posto notevole enfasi sull'informazione in relazione ai rischi e sulla trasparenza, in particolare nel campo sanitario e della sicurezza.	Condividiamo il parere di chi ha presentato la relazione che ha posto notevole enfasi sull'informazione in relazione ai rischi e sulla trasparenza, in particolare nel campo sanitario e della sicurezza.	Condividiamo il parere della persona referente che ha posto notevole enfasi sull'informazione in relazione ai rischi e sulla trasparenza, in particolare nel campo sanitario e della sicurezza.	M
414	ep-en-it-11924	Set-G	First of all I wish to thank the draftsmen, Mr Rübig and Mr Lehne, for their very comprehensive report on the proposal for a European Parliament and Council directive on general product safety.	Innanzitutto, vorrei ringraziare i relatori per parere, gli onorevoli Rübig e Lehne, per l'esauriente relazione sulla proposta di direttiva del Parlamento europeo e del Consiglio concernente la sicurezza generale dei prodotti.	Innanzitutto, vorrei ringraziare Rübig e Lehne, onorevoli e responsabili della stesura dei documenti, per l'esauriente relazione sulla proposta di direttiva del Parlamento europeo e del Consiglio concernente la sicurezza generale dei prodotti.	Innanzitutto, vorrei ringraziare chi ha compilato la relazione, onorevoli Rübig e Lehne, per l'esauriente relazione sulla proposta di direttiva del Parlamento europeo e del Consiglio concernente la sicurezza generale dei prodotti.	Innanzitutto, vorrei ringraziare Rübig e Lehne, onorevoli referenti per parere, per l'esauriente relazione sulla proposta di direttiva del Parlamento europeo e del Consiglio concernente la sicurezza generale dei prodotti.	M
417	ep-en-it-12133	Set-G	Let us not forget that it was my Labour colleague, Mr Whitehead, who introduced the amendments exempting charity shops, and we should congratulate him on his achievements.	Non dimentichiamo che si deve al mio collega laburista, l'onorevole Whitehead, l'introduzione di emendamenti che prevedono una deroga per i negozi caritatevoli, e dovremmo congratularci con lui per questo risultato.	Non dimentichiamo che si deve all'onorevole collega Whitehead del partito laburista, l'introduzione di emendamenti che prevedono una deroga per i negozi caritatevoli, e dovremmo congratularci con questa persona per il risultato.	Non dimentichiamo che si deve all'onorevole Whitehead, laburista come me, l'introduzione di emendamenti che prevedono una deroga per i negozi caritatevoli, e dovremmo congratularci per il risultato che ha raggiunto.	Non dimentichiamo che l'introduzione di emendamenti che prevedono una deroga per i negozi caritatevoli, si deve all'onorevole collega laburista Whitehead, con cui dovremmo congratularci per questo risultato.	M
419	ep-en-it-12398	Set-G	This has been largely due to the excellent work of the European Parliament and its representative, Mr Blokland.	Questo è in gran parte dovuto all'ottimo lavoro del Parlamento europeo e del suo rappresentante, onorevole Blokland.	Questo è in gran parte dovuto all'ottimo lavoro del Parlamento europeo e dell'onorevole Blokland, che lo rappresenta.	Questo è in gran parte dovuto all'ottimo lavoro del Parlamento europeo e di chi lo rappresenta, onorevole Blokland.	Questo è in gran parte dovuto all'ottimo lavoro del Parlamento europeo e dell'onorevole Blokland, suo rappresentante.	M
420	ep-en-it-12436	Set-G	I should like to end by stressing that our distinguished spokesperson, Mr Rocard, took extensive account of the scientific observations and many of the suggestions in my opinion.	In conclusione vorrei sottolineare che il nostro ottimo portavoce, onorevole Rocard, ha tenuto ampiamente conto delle indicazioni scientifiche e di molti elementi del mio parere.	In conclusione vorrei sottolineare che l'illustre portavoce, l'onorevole Rocard, ha tenuto ampiamente conto delle indicazioni scientifiche e di molti elementi del mio parere.	In conclusione vorrei sottolineare che l'onorevole Rocard, che ci ha fatto ottimamente da portavoce, ha tenuto ampiamente conto delle indicazioni scientifiche e di molti elementi del mio parere.	In conclusione vorrei sottolineare che l'onorevole Rocard, portavoce eccezionale, ha tenuto ampiamente conto delle indicazioni scientifiche e di molti elementi del mio parere.	M
421	ep-en-it-12437	Set-G	I should also like to thank my fellow members, Mr Pronk and Mr Karas, for their valuable contribution to the final report.	Desidero ringraziare i colleghi onorevoli Pronk e Karas per la preziosa collaborazione offerta nel preparare la relazione.	Desidero ringraziare Pronk e Karas, onorevoli membri del mio team, per la preziosa collaborazione offerta nel preparare la relazione.	Desidero ringraziare Pronk e Karas, di cui sono collega, per la preziosa collaborazione offerta nel preparare la relazione.	Desidero ringraziare l'onorevole collega Pronk e l'onorevole collega Karas per la preziosa collaborazione offerta nel preparare la relazione.	M
422	ep-en-it-12520	Set-G	Mr President, I should also like to congratulate the deputy on his own-initiative report, particularly because it is precisely that: an own-initiative report.	Signor Presidente, vorrei anch'io congratularmi con il deputato per la sua relazione d'iniziativa, soprattutto perché proprio di questo si tratta: di una relazione elaborata di sua iniziativa.	Gentile Presidente, vorrei anch'io congratularmi con il membro della Camera per la sua relazione d'iniziativa, soprattutto perché proprio di questo si tratta: di una relazione elaborata di sua iniziativa.	Presidente, vorrei anch'io congratularmi con l'onorevole per la sua relazione d'iniziativa, soprattutto perché proprio di questo si tratta: di una relazione elaborata di sua iniziativa.	Presidente, vorrei anch'io congratularmi con l'onorevole membro della Camera per la sua relazione d'iniziativa, soprattutto perché proprio di questo si tratta: di una relazione elaborata di sua iniziativa.	M
423	ep-en-it-12532	Set-G	Mr President, I am sure that the rapporteur, Mr Rocard, means well, but to me he resembles a man tiptoeing along a tightrope.	Signor Presidente, pur sapendo che l'onorevole Rocard aveva le migliori intenzioni, ho avuto l'impressione che il relatore camminasse sulla fune.	Gentile Presidente, pur sapendo che l'onorevole Rocard aveva le migliori intenzioni, ho avuto l'impressione che la persona che ha esposto la relazione camminasse sulla fune.	Presidente, pur sapendo che l'onorevole Rocard aveva le migliori intenzioni, ho avuto l'impressione che nella sua relazione camminasse sulla fune.	Presidente, pur sapendo che l'onorevole Rocard aveva le migliori intenzioni, ho avuto l'impressione che camminasse sulla fune nella sua relazione.	M
424	ep-en-it-12550	Set-G	I have to say, even, that to my eyes, Mr President, you resemble a chief physician, with a white coat, stethoscope and hammer to test reflexes.	Debbo dire, anzi, che lei, Presidente, mi sembra un primario d'ospedale, col camice bianco, lo stetoscopio e il martello per testare i riflessi.	Debbo dire, anzi, che lei, Presidente, sembra essere a capo di un reparto d'ospedale, col camice bianco, lo stetoscopio e il martello per testare i riflessi.	Debbo dire, anzi, che lei, Presidente, mi sembra chi dirige un reparto d'ospedale, col camice bianco, lo stetoscopio e il martello per testare i riflessi.	Devo dire, Presidente, che ai miei occhi lei assomiglia piuttosto a una persona che esercita una professione medica, col camice bianco, lo stetoscopio e il martello per testare i riflessi.	M
426	ep-en-it-12744	Set-G	The former Commissioner, Mr MacSharry, justified this criminal silence by claiming that the beef sector must not be put at risk.	L'ex Commissario MacSharry giustificava in tal modo questo silenzio colpevole, sostenendo che non si doveva mettere a repentaglio il settore bovino.	MacSharry, ex membro della Commissione, giustificava in tal modo questo silenzio colpevole, sostenendo che non si doveva mettere a repentaglio il settore bovino.	MacSharry, in passato già esponente della Commissione, giustificava in tal modo questo silenzio colpevole, sostenendo che non si doveva mettere a repentaglio il settore bovino.	MacSharry, precedentemente alla guida della Commissione, giustificava in tal modo questo silenzio colpevole, sostenendo che non si doveva mettere a repentaglio il settore bovino.	M
428	ep-en-it-12817	Set-G	Mr President, I want to thank Commissioner Byrne for his customary vigilance and also the French Minister for his presence today.	Signor Presidente, desidero ringraziare il Commissario Byrne per la sua consueta vigilanza, nonché il Ministro francese per la sua presenza di oggi.	Gentile Presidente, desidero ringraziare Byrne, membro della Commissione, per la sua consueta vigilanza, nonché il membro del ministero francese per la sua presenza di oggi.	Presidente, desidero ringraziare Byrne, esponente della Commissione, per la sua consueta vigilanza, nonché titolare del Ministero francese per la sua presenza di oggi.	Presidente, desidero ringraziare Commissione, nella persona di Byrne, per la sua consueta vigilanza, nonché il Ministero francese per la sua presenza di oggi.	M
429	ep-en-it-12829	Set-G	Commissioner Byrne did not say very much today, as he was widely trailed to have done, about testing.	Il Commissario Byrne non ha precisato molto oggi sui controlli, come invece era stato ampiamente invitato a fare.	Byrne, membro della Commissione, non ha precisato molto oggi sui controlli, come invece avrebbe dovuto fare.	L'esponente della Commissione Byrne non ha precisato molto oggi sui controlli, come richiedeva invece il nostro invito esplicito.	La Commissione, nella persona di Byrne non ha precisato molto oggi sui controlli, come invece era stata ampiamente invitata a fare.	M
430	ep-en-it-12936	Set-G	Commissioner Byrne was very strong today in his opening statement when he said to the House that he was prepared to look at this matter of meat-and-bone meal and take it on.	Oggi il Commissario Byrne ha dimostrato grande determinazione nella sua dichiarazione iniziale, quando ha detto al Parlamento che era disposto ad esaminare la questione delle farine animali e a farsene carico.	Oggi Byrne, membro della Commissione, ha dimostrato grande determinazione nella sua dichiarazione iniziale, quando ha detto al Parlamento che avrebbe esaminato la questione delle farine animali e a farsene carico.	Oggi l'esponente della Commissione Byrne ha dimostrato grande determinazione nella sua dichiarazione iniziale, quando ha confermato al Parlamento la sua disponibilità ad esaminare la questione delle farine animali e a farsene carico.	Oggi Byrne, rappresentante della Commissione, ha dimostrato grande determinazione nella sua dichiarazione iniziale, quando ha detto al Parlamento che era disponibile ad esaminare la questione delle farine animali e a farsene carico.	M
435	ep-en-it-1318	Set-G	The current Prime Minister, Mugur Isarescu, is himself on secondment from the Central Bank and therefore has excellent relationships with the international financial institutions.	L'attuale primo ministro, Mugur Isarescu, gode dell'appoggio della Banca centrale e intrattiene eccellenti rapporti con le istituzioni finanziarie internazionali.	L'attuale premier, Mugur Isarescu, gode dell'appoggio della Banca centrale e intrattiene eccellenti rapporti con le istituzioni finanziarie internazionali.	L'attuale premier, Mugur Isarescu, gode dell'appoggio della Banca centrale e intrattiene eccellenti rapporti con le istituzioni finanziarie internazionali.	L'attuale premier, Mugur Isarescu, gode dell'appoggio della Banca centrale e intrattiene eccellenti rapporti con le istituzioni finanziarie internazionali.	M
436	ep-en-it-13263	Set-G	We see it as building on the work of our colleague, Mr Mombaur, in advocating a greater share of electricity and energy in the European Union from these sources.	La consideriamo un ulteriore sviluppo sulla base del lavoro del nostro collega, l'onorevole Mombaur, nel sostenere la produzione da tali fonti di una maggiore quota di elettricità e di energia nell'Unione europea.	La consideriamo un ulteriore sviluppo sulla base del lavoro dell'onorevole collega Mombaur, nel sostenere la produzione da tali fonti di una maggiore quota di elettricità e di energia nell'Unione europea.	La consideriamo un ulteriore sviluppo sulla base del lavoro dell'onorevole collega Mombaur, nel sostenere la produzione da tali fonti di una maggiore quota di elettricità e di energia nell'Unione europea.	La consideriamo un ulteriore sviluppo sulla base del lavoro dell'onorevole collega Mombaur nel sostenere la produzione da tali fonti di una maggiore quota di elettricità e di energia nell'Unione europea.	M
