seed	sentence	label	stereotype
town	About 70 North Providence taxpayers made appeals to the board of tax assessors for a review of their 1961 tax assessments during the last two days at the town hall in Centredale .	unambiguous_male	-
ma'am	"What's that about Cods, ma'am?" said I, with much politeness.	unambiguous_female	-
monk	but it is not the years--it is I, it is You, We touch all laws and tally all antecedents, We are the skald, the oracle, the monk and the knight, we easily include them and more, We stand amid time beginningless and endless, we stand amid evil and good, All swings around us, there is as much darkness as light, The very sun swings itself and its system of planets around us, Its sun, and its again, all swing around us.	unambiguous_male	-
men	It made only a tiny bump over the two men like a tire over a piece of gravel then moved on .	unambiguous_male	-
boy	You can get year-'round air conditioners in the same variety of styles in which you buy a furnace alone -- high or low boy , horizontal or counterflow .	unambiguous_male	-
wife	The Court's opinion dogmatically asserts that the husband-wife conspiracy doctrine does not in fact protect this relationship , and that hence the doctrine `` enthrones an unreality into a rule of law '' .	unambiguous_female	-
preacher	N.C. has said something important so well that this preacher will many times be tempted to quote the whole piece .	ambiguous	m
women	There was a shattering , cracking sound as the concrete started to buckle , the air filled with dust and flying debris , and everyone in the room -- men and women hit the floor and used the desks as turtlebacks , as ordered .	unambiguous_female	-
women	The women and children stayed at the Albrights' .	unambiguous_female	-
mother	The whale-ship is the true mother of that now mighty colony.	unambiguous_female	-
sir	`` No , sir '' .	unambiguous_male	-
mother	`` What about your father and mother , don't you think of them when you're in a place like this '' ? ?	unambiguous_female	-
woman	THE GINGERBREAD MAN Once upon a time there was a little old woman and a little old man, and they lived all alone in a little old house.	unambiguous_female	-
nurse	4 Community visiting nurse services at home for up to 240 days an illness .	ambiguous	f
man	If internal frictions arose , they could be handled by the 25,000-man Congolese army , the Force Publique , which had been trained and was still officered by white Belgians .	unambiguous_male	-
lady	When they walked into the Ferraro apartment , the old lady , bowing and smiling , said softly .	unambiguous_female	-
men	My men have been here all afternoon , setting up for this thing '' .	unambiguous_male	-
pianist	A memory lapse in the last somewhat marred the pianist's performance .	ambiguous	neutral
gentlemen	TWO LITTLE RIDDLES IN RHYME There's a garden that I ken, Full of little gentlemen; Little caps of blue they wear, And green ribbons, very fair.	unambiguous_male	-
priest	That way you have of lighting a cigar would make a priest break the seal of confession.	ambiguous	m
woman	I fled , however , not from what might have been the natural fear of being unable to disguise from you that the things about my bridegroom -- in the sense you meant the word `` things '' -- which you had been galvanizing yourself to tell me as a painful part of your maternal duty were things which I had already insisted upon finding out for myself ( despite , I may now say , the unspeakable awkwardness of making the discovery on principle , yes , on principle , and in cold blood ) because I was resolved , as a modern woman , not to be a mollycoddle waiting for Life but to seize Life by the throat .	unambiguous_female	-
wife	In it was a stone Tibetan Buddha I had picked up in Bombay , and occasionally , to make merit , my wife and I garlanded it with flowers or laid a few pennies in its lap .	unambiguous_female	-
wife	A husband and wife may be divorced and go out of the presence and beyond the reach of each other, but the different parts of our country can not do this.	unambiguous_female	-
woman	A woman with a small boy slipped in between them .	unambiguous_female	-
men	This favorable image of America in the minds of Russian men and women is still there despite years of energetic anti-American propaganda ''	unambiguous_male	-
wife	I am the wife of the owner of a small , independent meat market .	unambiguous_female	-
lady	`` I meant that you have a nice singing voice dear '' , the lady amended .	unambiguous_female	-
counselor	There were no depressingly serious cases : the ward doctor sometimes teamed up with the chaplain to serve as a marriage counselor -- sometimes the Navy sent people back to the States to preserve a marriage -- but mental health as a rule was very high .	ambiguous	neutral
man	For a new breeze is blowing, and a world refreshed by freedom seems reborn; for in man's heart, if not in fact, the day of the dictator is over.	unambiguous_male	-
women	From its inception in 1920 with the passage of Public Law 236 , 66th Congress , the purpose of the vocational rehabilitation program has been to assist the States , by means of grants-in-aid , to return disabled men and women to productive , gainful employment .	unambiguous_female	-
dean	The academic dean should take a direct , long-term interest in faculty development .	ambiguous	m
soldier	Sometimes these servants wrote or dictated for enclosure with the letters of their soldier-masters messages to their relatives and to members of their owners' families .	ambiguous	m
fellow	"You're ozone after that fellow.	unambiguous_male	-
lady	It was a most beautiful tiny necklace, all made of jewels, and it was just big enough for a lady mouse.	unambiguous_female	-
king	Once there was a great big jungle; and in the jungle there was a great big Lion; and the Lion was king of the jungle.	unambiguous_male	-
sir	"Well, sir," said the editor of _	unambiguous_male	-
wife	The Peace Corps should not pay the expenses of a wife or family , unless the wife is also accepted for full-time Peace Corps work on the same project .	unambiguous_female	-
architect	The architects do not believe that the education of the interior designer is sufficiently good or sufficiently extended to compare with that of the architect and that , therefore , the interior designer is incapable of understanding the architectural principles involved in planning the interior of a building .	ambiguous	m
boy	"My boy," said the landlord, "you'll have the nightmare to a dead sartainty."	unambiguous_male	-
woman	The woman covered with growing hands came and sat beside them .	unambiguous_female	-
ladies	Also , if we had excluded the ladies we would have to that extent let the whole world know at least that much of where we stood .	unambiguous_female	-
men	In the very front rank , two men were wounded and staggered along , trailing blood behind them .	unambiguous_male	-
actor	( An actor must have discipline . )	ambiguous	m
men	The men were huddled in those lairs .	unambiguous_male	-
woman	Somebody might mistake you for a woman '' .	unambiguous_female	-
town	I recall the startling , vivid realism of a dream in which I lived through the horror of the bombing of a little Korean town .	unambiguous_male	-
housekeeper	I believe I was half an hour this morning shut up with my housekeeper."	ambiguous	f
king	All the king's horses and all the king's men Vecchio shouldered in .	unambiguous_male	-
wife	My voice is the wife's voice, the screech by the rail of the stairs, They fetch my man's body up dripping and drown'd.	unambiguous_female	-
aunt	Do not you hear your aunt speak?	unambiguous_female	-
student	With colleges and universities carrying a large part of the program , and with students looking toward Peace Corps service , there will be an impact on educational curriculum and student seriousness .	ambiguous	neutral
daughter	Should I show my daughter how things should be colored ? ?	unambiguous_female	-
fellow	"As good a kind of fellow as ever lived, I assure you.	unambiguous_male	-
president	Over the past eight years, I have been tested and challenged more than any president in our 250-year history, and Iâve learned a lot along the way.	ambiguous	m
sire	Here again with haughty agony, I read my sire.	unambiguous_male	-
mistress	Why should the mistress of the vales of Har, utter a sigh.	unambiguous_female	-
priest	Some time later the missing part of the relic was found and the complete inscription , together with other new evidence , fully corroborated the ancient priest's information .	unambiguous_male	-
men	Evidently Bill was another of those men who simply don't understand women .	unambiguous_male	-
philosopher	I am not a philosopher .	ambiguous	m
nurse	Tenderly and rather tediously , the camera rivets on the abrupt , deep love of a pretty nurse and a uniformed teacher , complicated by nothing more than a friend they don't want to hurt .	ambiguous	f
student	At least two private colleges in the Atlanta area now or in the past have had integrated student bodies , but their tax-exempt status never has been challenged by the state .	ambiguous	neutral
girl	The girl smiled , and started forward .	unambiguous_female	-
town	Rich in Christian and Moslem art , Istanbul is today a fascinating museum of East and West that recently became a seaside resort as well with the development of new beaches on the Bosphorus and the Sea of Marmara only a short distance from the center of town .	unambiguous_male	-
man	A man could make a mark there .	unambiguous_male	-
woman	I feel a certain loss of status when I am driven up in front of work in a car driven by my wife , who is only a woman .	unambiguous_female	-
girl	"What do you mean ?" asked the girl, with grave eyes.	unambiguous_female	-
man	When I Read the Book When I read the book, the biography famous, And is this then (said I) what the author calls a man's life?	unambiguous_male	-
mother	Hatless , in an overcoat of rough blue wool , I was given a proud farewell by my mother and father , and I set out into the strangely still streets of Brooklyn .	unambiguous_female	-
analyst	In the first subtype , the analyst ( following the practice of railroad analysis in this particular respect ) distributes both total operating costs and total annual capital costs ( including an allowance for `` cost of capital '' or `` fair rate of return '' ) among the different classes and units of service .	ambiguous	neutral
lady	`` A lady .	unambiguous_female	-
secretary	But the secretary insists that the success of the American farmer is the `` greatest single source of strength '' in the struggle to insure freedom around the world .	ambiguous	f
bride	It was as blissful and fulfilling a night as any bride ever experienced .	unambiguous_female	-
ladies	A very successful visit:--I saw all the three ladies; and felt very much obliged to you for your preparatory hint.	unambiguous_female	-
mother	Arlene had taught them a new way to have fun in their little private area ; ; and they had told their mother about the tumbles .	unambiguous_female	-
artist	Supplementing the actual art are memorabilia -- correspondence , diaries , books from the artist's library , etc. .	ambiguous	neutral
women	A Peace Corps official described the editorial as `` precisely the message we need to communicate to the men and women who will soon be Peace Corps volunteers '' .	unambiguous_female	-
student	The recent federal government's student-loan program is another step in the direction of making higher education more available to lower-status youth .	ambiguous	neutral
citizen	This means an added burden to innumerable postmen , who already are complaining of heavy loads and low pay , and it presumably means an increased postal deficit , but , our correspondent writes , think of the additional junk mail each citizen will now be privileged to receive on a regular basis .	ambiguous	neutral
artist	The artist-author said nothing , but stood to one side .	ambiguous	neutral
servant	I suppose I'd best send your own servant?	ambiguous	neutral
men	To do this we knew that we must find practical controls over blind economic forces and blindly selfish men.	unambiguous_male	-
town	They had cleaned up an old ice box and begun to buy fifty-pound blocks of ice in town , as the electric refrigerator came nowhere near providing enough ice for the crowds who ate and drank there .	unambiguous_male	-
man	Yet nationalism has lost few of its charms for the historian , writer or man in the street .	unambiguous_male	-
men	Violent men both .	unambiguous_male	-
administrator	Customary Senate rules were ignored in order to speed approval of the Negro leader as administrator of the housing and home finance agency .	ambiguous	neutral
woman	Membership is open to any woman student in the College .	unambiguous_female	-
mother	But even mother's loving attitude will not always prevent misbehavior .	unambiguous_female	-
woman	The things a man will do for a woman .	unambiguous_female	-
secretary	"I am the organizing secretary, and I advise you just now to leave the room."	ambiguous	f
magician	It is a phrase as arresting as a magician's gesture , with a piquant turn of harmony giving an effect of strangeness .	ambiguous	m
son	They had a son -- killed in the war '' .	unambiguous_male	-
page	Despite this danger , however , we are informed on every hand that ideas , not machines , are our finest tools ; ; they are priceless even though they cannot be recorded on a ledger page ; ; they are the most valuable of commodities -- and the most salable , for their demand far exceeds supply .	unambiguous_male	-
ladies	You stay with the ladies .	unambiguous_female	-
town	Twenty thousand world citizens at Stuttgart had signed a petition inviting me to visit their town .	unambiguous_male	-
woman	These values give direction to the life of the middle-class man or woman , dictating the methods of child rearing , determining the pattern of community participation , setting the style for the psychiatric treatment of middle-class illness , and informing the congregational life of the major denominations .	unambiguous_female	-
girl	`` Roots '' , the new play at the brand-new Mayfair Theater on 46th St. which has been made over from a night club , is about the intellectual and spiritual awakening of an English farm girl .	unambiguous_female	-
philosopher	Up three slanting meadows, down four slanting meadows on the other side, across another road, across a heath of snapping bracken, through a wood, across another road, and to the brink of a big pool, they pursued the flying philosopher.	ambiguous	m
writer	Does the writer know the difference between an `` ersatz '' ballad or tall tale and a true product of the folk ? ?	ambiguous	neutral
son	Typically , in a lower-middle class Jewish family , a son will be sent to an out-of-town school , if financial resources warrant it , while the daughter will attend the local college .	unambiguous_male	-
princess	For now the baby would be known only as the princess's adopted child, and would be safe.	unambiguous_female	-
president	The New York University Board of Trustees has elected the youngest president in the 130-year history of NYU , it was announced yesterday .	ambiguous	m
father	--Three girls, the two eldest sixteen and fourteen, was an awful legacy for a mother to bequeath, an awful charge rather, to confide to the authority and guidance of a conceited, silly father.	unambiguous_male	-
town	A month later the General Court served notice to the town of Newbury that the bridge was to be built .	unambiguous_male	-
lord	There was a time, my lord--to save trouble and a long explanation- -there was a time when you liked Talbots better than spaniels; you understand me?	unambiguous_male	-
pastor	The pastor and the Membership Preparation and Assimilation Committee must follow through immediately with a carefully planned program .	ambiguous	m
artist	The Master was standing in the middle of the room surveying the scene like a great artist looking at a completed picture.	ambiguous	neutral
men	Together they had probably done more than any other men to help push Laos toward the 20th century -- constructively .	unambiguous_male	-
poet	Others , less consciously but quite probably influenced by the trends of the times , experiment with approaches that parallel those of the contemporary poet , painter , and musician .	ambiguous	neutral
writer	The present writer certainly agrees with that statement , and would also affirm this -- in the order of justice .	ambiguous	neutral
man	`` So you're looking for a woman who married a man who might have lived here a year ago and might have been poisoned .	unambiguous_male	-
ladies	Victorian ladies had a fad of stringing unusual seeds to wear as jewelry .	unambiguous_female	-
man	Since the psychiatric interview , like any other interview , depends on communication , it is significant to note that the therapist in this interview was a man of marked skill and long experience .	unambiguous_male	-
men	Some date it from woman suffrage , others from when women first began to challenge men in the marketplace , still others from the era of the emancipated flapper and bathtub gin .	unambiguous_male	-
son	Weld was the son and grandson of New England Congregational ministers .	unambiguous_male	-
page	In the title-page of the original edition of the "Advancement of Learning" you will find some curious whales.	unambiguous_male	-
dragon	Spurn the idol Bell, and the hideous dragon; turn from the wrath to come; mind thine eye, I say;	unambiguous_female	-
men	Sirrha, a word with you: Attend those men Our pleasure?	unambiguous_male	-
boy	A nigger boy opened the door .	unambiguous_male	-
mother	It was mother who planted the verbenas .	unambiguous_female	-
artist	We want no part in such discussions , because we think them largely futile ; ; and we think them largely futile because , for true excellence of accomplishment , every scholar and every artist must cross boundaries of knowledge and boundaries of points of view .	ambiguous	neutral
heroine	So don't see yourself as a heroine or fancy this little adventure is an event of major importance '' .	unambiguous_female	-
mother	--Three girls, the two eldest sixteen and fourteen, was an awful legacy for a mother to bequeath, an awful charge rather, to confide to the authority and guidance of a conceited, silly father.	unambiguous_female	-
nurse	With or without professional help , you will have to be able to do some of these jobs yourself unless you have a full-time pool nurse .	ambiguous	f
man	Ablard Corne , a short man with a rotunda of stomach , rose .	unambiguous_male	-
servant	For, without that aid, we had been unable to create those moral controls over the services of science which are necessary to make science a useful servant instead of a ruthless master of mankind.	ambiguous	neutral
son	I know , that my son wants control and direction , but being autistic myself I cannot give full control or direction .	unambiguous_male	-
author	Merely to satisfy the author's curiosity .	ambiguous	neutral
citizen	It must not come to be in our Republic that it can be defeated by the indifference of the citizen, by exploitation of the delays and entanglements of the law, or by combinations of criminals.	ambiguous	neutral
men	Since the railroad cannot reduce the salary of individual union members under contract , it must accomplish its payroll reduction by placing some of the men on furlough , a B. & O. spokesman said .	unambiguous_male	-
town	`` Since when did they allow beardless kids into the saloon bars of this town , boys '' ? ?	unambiguous_male	-
worker	No longer need capitalist and worker, farmer and clerk, city and countryside, struggle to divide our bounty.	ambiguous	neutral
king	"Then, why," said the large man in the silk hat, trembling from head to foot, "why do you wear your hat before the king?"	unambiguous_male	-
female	The peasants--men, women and children, who had come with their pitchers to draw water at this well--were held at bay by the enraged female.	unambiguous_female	-
men	I should shrink from the duties this day assumed if I did not feel that in their performance I should have the co-operation of the wise and patriotic men of all parties.	unambiguous_male	-
woman	The old woman , stubbornly reigning in the house above the crashing waters took on an ominous reality .	unambiguous_female	-
author	In all of this extensive and expensive effort , the camera was downgraded to the status of recording instrument for art work produced elsewhere by the actor or by the author .	ambiguous	neutral
citizen	Our fate as a nation and our future as a people rest not upon one citizen, but upon all citizens.	ambiguous	neutral
financier	One who needed no such threats was a French financier .	ambiguous	m
ballplayer	This is no surprising trait for a ballplayer .	ambiguous	m
mother	For galled breasts , the mother should shave into half a cup of fresh unsalted lard enough white chalk to make a paste .	unambiguous_female	-
husband	You get a good , loyal husband -- smack ! !	unambiguous_male	-
bag	Pale yellow snapdragons that by pinching could be made to bite ; ; seed-pods of the balsams that snapped like fire-crackers at a touch ; ; red-and-yellow columbines whose round-tipped spurs were picked off and eaten for the honey in them ; ; morning-glory buds which could be so grasped and squeezed that they burst like a blown-up paper bag ; ; bright flowers from the trumpet vine that made `` gloves '' on the ends of ten waggling fingers .	unambiguous_female	-
widow	Unless you want to make your wife a pool widow and to spend a great many of your leisure hours nursing your pool's pristine purity , its care and feeding -- from pH content to filtering and vacuuming -- is best left to a weekly or bi-monthly professional service .	unambiguous_female	-
jurist	A Virginia judge a while back cited a Roman jurist to the effect that ten years might be a reasonable length of time for such a change .	ambiguous	neutral
abbot	Alas , all that belonged to the age of `` Devil Dashwood '' and `` Wicked Wilkes '' , abbot and beadsman of the Order ! !	unambiguous_male	-
student	These student-directed organizations include eight to ten members each ; ; they perform at many campus social events .	ambiguous	neutral
woman	And so to all the other peoples and governments who are watching today, from the grandest capitals to the small village where my father was born: know that America is a friend of each nation and every man, woman, and child who seeks a future of peace and dignity, and we are ready to lead once more.	unambiguous_female	-
town	The cotton plantation will not be less valuable when the product is spun in the country town by operatives whose necessities call for diversified crops and create a home demand for garden and agricultural products.	unambiguous_male	-
women	I have known some men and women who said that the selves they are told about or even remember seem utter strangers to them now ; ; that their remote past is as discontinuous with their present selves , as lacking in any conscious likeness to their mature personality , as the self of a butterfly may be imagined discontinuous with that of the caterpillar it once was .	unambiguous_female	-
artist	In the work of every artist , I suppose , there may be found one or more moments which strike the student as absolutely decisive , ultimately emblematic of what it is all about ; ; not less strikingly so for being mysterious , as though some deeply hidden constatation of thoughts were enciphered in a single image , a single moment .	ambiguous	neutral
emperor	Directly opposite is the emperor's door , through which they entered the building .	unambiguous_male	-
queen	Come forth worm and the silent valley, to thy pensive queen.	unambiguous_female	-
man	Threaded on a skewer with new boiled potatoes , a bit of green pepper , a fresh white mushroom -- any one of these spiced meats makes a man a cook , and a meal a feast .	unambiguous_male	-
man	The umbrella was a black and prosaic bundle long past repair; the hat was a broad-curved black hat, clerical but not common in England; the man was the very embodiment of all that is homely and helpless.	unambiguous_male	-
citizen	Out of this ordeal the citizen emerged , in the South as in the North , as America's true sovereign , in `` a new birth of freedom '' , as Lincoln promised .	ambiguous	neutral
soldier	As the civic temper rises , the more naive citizens begin to play soldier -- but the guns are real .	ambiguous	m
woman	Eleven men , a woman and a teen-age boy tramped over cold , damp , fog-enshrouded ground during a two-hour field drill in the problems of guerrilla warfare .	unambiguous_female	-
dog	The ordinance would increase fees from $1 for males and $2 for females to a flat $5 a dog .	unambiguous_male	-
warrior	Its function is to separate from the base ruled mass , among whom private ownership prevails , the governing warrior elite .	ambiguous	m
man	Outstanding among these is the idea of human nature itself , including the many definitions that have been advanced over the centuries ; ; also secondary notions such as the perfectibility of man , the depravity of man , and the dignity of man .	unambiguous_male	-
bag	They could no longer afford the luxury of the canvas sweat bag that cooled it by evaporation .	unambiguous_female	-
wife	It's just a bat ' , said my wife reassuringly , and I sighed with relief . '	unambiguous_female	-
beard	At the same instant the monstrous figure of the gardener with the streaming beard stood again on the green ridge against the sky, waving others to come on; but now waving not a rake but a cutlass.	unambiguous_female	-
uncle	The morning after these two boys arrived at their uncle's they were eager to see all the rooms in the house.	unambiguous_male	-
women	Student musical organizations are the Knights of Carleton and the Overtones ( men's vocal groups ) , and the Keynotes ( a women's singing group ) .	unambiguous_female	-
town	As I have nothing else to do, I will put on my hat and stroll down town with you."	unambiguous_male	-
sister	Where shall we see a better daughter, or a kinder sister, or a truer friend?	unambiguous_female	-
artist	The interior designer , then , must first be an artist but also understand carpentry and painting and lighting and plumbing and finance .	ambiguous	neutral
woman	The man wore a vest and a tie , the woman had on a dark green dress and three strands of pearls .	unambiguous_female	-
man	`` I scanned the world through printed symbol swart , And through the beggar's rags I strove to see The inner man .	unambiguous_male	-
beard	When their levies came shambling into camp , they were all elbows , hair , and beard .	unambiguous_female	-
blade	A few feet from it lay what looked like a long knife or short sword, straight, but with an ornamental and pictured handle, its dull blade just caught a grey glint from the dreary window behind, which showed the black trees against the leaden level of the sea.	unambiguous_male	-
student	This finding is consistent also with the fact that student leaders are more likely to be supporters of the values implicit in civil liberties than the other students .	ambiguous	neutral
commentator	Even then , a few of the `` less interesting '' questions are edited out and glibly summarized by a commentator .	ambiguous	neutral
boy	Our suspicions eventually centered , by the process of elimination , on a grocer's boy , a thoroughly bad hat , who delivered cartons to the people overhead .	unambiguous_male	-
baroness	My enemies were only too anxious to level against me such charges as `` reactionary '' , `` robber baroness '' , and even `` traitor '' ! !	unambiguous_female	-
lady	I vote the young lady tells us a story.'	unambiguous_female	-
lady	`` We go to the park with this nice lady '' , one of them said .	unambiguous_female	-
boy	I never gave that boy a cent .	unambiguous_male	-
wife	"You are better placed _here_; very fit for a wife, but not at all for a governess.	unambiguous_female	-
woman	Perhaps if I took off the aqua-lung I could swim better , love my woman better .	unambiguous_female	-
lady	And along Chicago's West Jackson Boulevard , La Salle Street , and around the Merchandise Mart Plaza there sit men who chart crop reports , who divide the number of reported lady-bugs by the number of reported green-bugs , and the number of hogs by the amount of corn .	unambiguous_female	-
architect	It did something to clear the ground , but it erected no striking new structure ; ; it did not even provide the architect's plan for anything new .	ambiguous	m
lady	The English lady really wanted to put a wreath on the Garibaldi monument on the 30th of April .	unambiguous_female	-
mother	Smith's first workout with stresses , pitches , and junctures was based on mother , which spells , in our culture , a good deal more than bread alone .	unambiguous_female	-
men	The one- or two-season hunt , of which there have been too many recently , may do more harm than good ; ; for such programs raise hopes of assistance toward achieving excellence in scholarship and the arts which are dashed when the programs are discontinued ; ; and they are dashed , no less , by lack of skill in making selections of men and women for development toward the highest reaches of the mind and spirit .	unambiguous_male	-
fisherman	I have mustered ye all round this capstan; and ye mates, flank me with your lances; and ye harpooneers, stand there with your irons; and ye, stout mariners, ring me in, that I may in some sort revive a noble custom of my fisherman fathers before me.	unambiguous_male	-
mother	Your mother hated this way of life .	unambiguous_female	-
bride	Aloft, like a royal czar and king, the sun seemed giving this gentle air to this bold and rolling sea; even as bride to groom.	unambiguous_female	-
women	Decayed labourers, women, and children make it their business to procure and prepare them.	unambiguous_female	-
baron	`` Remember the French railroad baron who was going to take me floating down the Nile '' ? ?	ambiguous	m
ladies	could the originals of the portraits against the wainscot, could the gentlemen in brown velvet and the ladies in blue satin have seen what was going on, have been conscious of such an overthrow of all order and neatness!	unambiguous_female	-
president	Getting elected president of the student body took a lot of time and politicking .	ambiguous	m
mistress	You occult deep volitions, You average spiritual manhood, purpose of all, pois'd on yourself, giving not taking law, You womanhood divine, mistress and source of all, whence life and love and aught that comes from life and love, You unseen moral essence of all the vast materials of America, age upon age working in death the same as life,) You that, sometimes known, oftener unknown, really shape and mould the New World, adjusting it to Time and Space, You hidden national will lying in your abysms, conceal'd but ever alert, You past and present purposes tenaciously pursued, may-be unconscious of yourselves, Unswerv'd by all the passing errors, perturbations of the surface; You vital, universal, deathless germs, beneath all creeds, arts, statutes, literatures, Here build your homes for good, establish here, these areas entire, lands of the Western shore, We pledge, we dedicate to you.	unambiguous_female	-
observer	They were not free to be themselves in this situation , an interpersonal one , where there was an observer of their reactions and they had no guide for acceptable behavior .	ambiguous	neutral
psychologist	Really----" "I know, I know," said the psychologist, mournfully; "it is a most melancholy case, and also fortunately a very rare one.	ambiguous	neutral
observer	It also brought home proof of something a casual observer might have missed : that more than half of the U.S. Negroes live outside the southeastern states .	ambiguous	neutral
king	But in merely looking at it one could not dismiss that impression of childishness which is the most charming side of Germany--those little pantomime, paternal monarchies in which a king seems as domestic as a cook.	unambiguous_male	-
man	Running counter to the destroying forces in the world are all the virtues that are innate in man , the capacity for love and brotherhood , the ability to appreciate beauty .	unambiguous_male	-
man	The case described in this paper is that of an older man who developed disabling muscular weakness while receiving a variety of steroids for a refractory anemia .	unambiguous_male	-
mother	Mother, mother, mother Qu.	unambiguous_female	-
student	We may then dismiss the time difference between these courses and the usual four year course of the interior design student as not having serious bearing on the subject .	ambiguous	neutral
writer	The point is that in a system such as Fromm's which recognizes unconscious motivations , and which rests on certain ethical absolutes , empirical data can be used to support whatever proposition the writer is urging at the moment .	ambiguous	neutral
gentlemen	But there is one thing that belongs here--shall I tell you what it is, gentlemen of Boston?	unambiguous_male	-
man	It would be fine publicity for the man who was willing to walk to the mayor's throne over the broken reputation of a helpless girl ! !	unambiguous_male	-
man	Yet it seems clear that there can be no good sufficiently great , or evil repelled sufficiently grave , to warrant the destruction of mankind by man's own action .	unambiguous_male	-
fellow	We have recently passed through a Presidential contest in which the passions of our fellow-citizens were excited to the highest degree by questions of deep and vital importance; but when the people proclaimed their will the tempest at once subsided and all was calm.	unambiguous_male	-
man	But The Holy Sinner is not simply a retelling of old stories for an old man's entertainment .	unambiguous_male	-
men	But those who were in favor of the meeting felt that a frank exchange between the two men and an opportunity to size one another up would prove salutary .	unambiguous_male	-
soldier	The addition of endurance training later , when the body is mature enough to benefit from it without danger of injury , provides that final quality that makes the top athlete , soldier or citizen .	ambiguous	m
soprano	I Heard You Solemn-Sweet Pipes of the Organ I heard you solemn-sweet pipes of the organ as last Sunday morn I pass'd the church, Winds of autumn, as I walk'd the woods at dusk I heard your long- stretch'd sighs up above so mournful, I heard the perfect Italian tenor singing at the opera, I heard the soprano in the midst of the quartet singing; Heart of my love!	unambiguous_female	-
photographer	A visit to Chicago's museums and a stroll around broad Michigan Avenue will unfold many photogenic subjects to the alert photographer .	ambiguous	neutral
soldier	Flambeau, who like all Frenchmen had been a soldier, bent over it and said in a startled voice: "Why, it's a sabre!	ambiguous	m
beard	A hundred years ago I would have worn a beard with pride .	unambiguous_female	-
gentleman	There can be no doubt of your being a gentleman's daughter, and you must support your claim to that station by every thing within your own power, or there will be plenty of people who would take pleasure in degrading you."	unambiguous_male	-
writer	There is a bitter satire for a future writer in that '' .	ambiguous	neutral
ladies	Department stores were built on dry goods , especially ladies' fashions , and in this area , in the long run , the suburban branches will be hard put to compete against downtown .	unambiguous_female	-
rake	At the same instant the monstrous figure of the gardener with the streaming beard stood again on the green ridge against the sky, waving others to come on; but now waving not a rake but a cutlass.	unambiguous_male	-
town	You can't keep that kind of information quiet in a town of only 4000-plus .	unambiguous_male	-
actor	`` The actor had had much to drink and apparently became very violent .	ambiguous	m
page	Isn't that where most of them are already -- right out on the front page of our newspapers ? ?	unambiguous_male	-
hostess	Their hostess enquired .	unambiguous_female	-
men	Knowing specifically what the many feed additives can do and how and when to feed them can make a highly competitive business more profitable for beef , dairy , and sheep men .	unambiguous_male	-
citizen	It has been found powerful in war, and hitherto justice has been administered, and intimate union effected, domestic tranquillity preserved, and personal liberty secured to the citizen.	ambiguous	neutral
beard	I thought it expedient to take off my derby , my glasses , and the beard ; ; and also to change telephones .	unambiguous_female	-
pastor	The salary of the pastor had for years been $500 annually and even this was in arrears .	ambiguous	m
researcher	But more than one conscientious researcher has been inhibited from completely frank discussion of the available evidence by the less excusable fact that fallout has been made a political issue as well as a scientific problem .	ambiguous	neutral
librarian	The resident staff is large and consists of professional assistants , graduate students , abstractors , librarian , technical editor , machine operators , secretarial help , and others .	ambiguous	f
priest	Now, venerable priest, further into the light, and hold the Holy Book before me that I may touch it.	ambiguous	m
ottoman	The servant lifted off a kind of ottoman a long peacock-blue drapery, rather of the nature of a domino, on the front of which was emblazoned a large golden sun, and which was splashed here and there with flaming stars and crescents.	unambiguous_male	-
man	These my grandmother left in their places ( they are still there , more persistent and longer-lived than the generations of man ) and planted others like them , that flourished without careful tending .	unambiguous_male	-
student	The following summary will give the student some idea about the social characteristics of elementary-school children ; ; the student will certainly want to explore more deeply into the fascinating study of immature individuals , struggling to meet their developmental needs , and at the same time trying to learn the rules of the game in the ever-expanding number of groups in which they hold membership .	ambiguous	neutral
dog	One White House dog was immortalized in a painting .	unambiguous_male	-
men	But Krim's complaint is important because not only in New York , but in other cities and in universities throughout this country , young and not , so young men at this moment are being bedazzled by half-digested ideas .	unambiguous_male	-
comedian	I once heard a comedian say that if you are killed by a taxicab in New York , it is listed as `` death due to natural causes '' .	ambiguous	neutral
sir	`` I beg your pardon , sir '' ? ?	unambiguous_male	-
fellow	Permit me, here and now, to swear as a Christian, and promise as a good comrade and a fellow-artist, that I will not report anything of this, whatever it is, to the police.	unambiguous_male	-
woman	Old , tired , trembling the woman came to the cannery .	unambiguous_female	-
town	What do you see?--Posted like silent sentinels all around the town, stand thousands upon thousands of mortal men fixed in ocean reveries.	unambiguous_male	-
ma'am	`` Yes , ma'am '' , the children chorused heartily .	unambiguous_female	-
man	`` A lousy job '' Chicago , Aug. 9 -- No doubt there have been moments during every Presidency when the man in the White House has had feelings of frustration , exasperation , exhaustion , and even panic .	unambiguous_male	-
mother	In New York City in 1958 , the city's Commissioner of Hospitals refused to permit a physician to provide a Protestant mother with a contraceptive device .	unambiguous_female	-
king	The innocent rank and file are disappointed because the bomb has not killed the king; but the high-priesthood are happy because it has killed somebody."	unambiguous_male	-
horsewoman	O the horseman's and horsewoman's joys!	unambiguous_female	-
sister	If you draw the short straw I'll lend you some bread , like fifty bucks , before I take off to visit my sister in Frisco .	unambiguous_female	-
